filename,bgmm_cluster,hdbscan_cluster
A\2219_a.jpg,4,1
A\2221_a.jpg,0,1
A\2225_a.jpg,14,-1
A\2231_a.jpg,16,1
A\2232_a.jpg,3,-1
A\2234_a.jpg,15,1
A\2247_a.jpg,14,1
A\2262_a.jpg,6,1
A\2264_a.jpg,1,1
A\2266_a.jpg,18,1
A\2267_a.jpg,1,1
A\2268_a.jpg,14,1
A\2269_a.jpg,14,1
A\2273_a.jpg,2,1
A\2277_a.jpg,12,1
A\2279_a.jpg,12,1
A\2280_a.jpg,9,1
A\2281_a.jpg,0,1
A\2284_a.jpg,0,1
A\2310_a.jpg,12,1
A\2336_a.jpg,8,1
A\2357_a.jpg,8,1
A\2360_a.jpg,8,1
A\2366_a.jpg,8,1
A\2369_a.jpg,8,1
A\2371_a.jpg,0,1
A\2374_a.jpg,0,1
A\2378_a.jpg,7,1
A\2393_a.jpg,8,-1
A\2395_a.jpg,8,1
A\2397_a.jpg,18,1
A\2398_a.jpg,2,1
A\2400_a.jpg,6,1
A\2401_a.jpg,4,1
A\2402_a.jpg,14,1
A\2404_a.jpg,14,1
A\2406_a.jpg,6,1
A\2407_a.jpg,18,1
A\2409_a.jpg,16,1
A\2410_a.jpg,18,1
A\2412_a.jpg,4,1
A\2414_a.jpg,14,1
A\2416_a.jpg,18,1
A\2417_a.jpg,18,1
A\2420_a.jpg,16,1
A\2421_a.jpg,4,1
A\2422_a.jpg,14,1
A\2423_a.jpg,14,1
A\2426_a.jpg,4,1
A\2432_a.jpg,14,1
A\2433_a.jpg,1,1
A\2435_a.jpg,2,1
A\2436_a.jpg,16,1
A\2437_a.jpg,4,1
A\2439_a.jpg,16,1
A\2440_a.jpg,4,1
A\2441_a.jpg,16,1
A\2442_a.jpg,1,1
A\2443_a.jpg,16,1
A\2446_a.jpg,18,1
A\2451_a.jpg,16,1
A\2454_a.jpg,4,1
A\2457_a.jpg,14,1
A\2458_a.jpg,18,1
A\2462_a.jpg,4,1
A\2463_a.jpg,1,1
A\2464_a.jpg,4,1
A\2466_a.jpg,18,1
A\2468_a.jpg,16,1
A\2471_a.jpg,16,1
A\2472_a.jpg,1,1
A\2473_a.jpg,16,1
A\2490_a.jpg,15,1
A\2491_a.jpg,16,1
A\2492_a.jpg,1,1
A\2494_a.jpg,4,1
A\2495_a.jpg,16,1
A\2496_a.jpg,1,1
A\2507_a.jpg,16,1
A\2508_a.jpg,16,1
A\2521_a.jpg,5,1
A\260_a.jpg,10,0
A\261_a.jpg,10,0
A\2622_a.jpg,6,1
A\267_a.jpg,10,0
A\268_a.jpg,10,0
A\269_a.jpg,12,1
A\2759_a.jpg,18,1
A\2761_a.jpg,4,1
A\2763_a.jpg,2,1
A\2768_a.jpg,16,1
A\2769_a.jpg,2,1
A\276_a.jpg,17,1
A\2772_a.jpg,1,1
A\2774_a.jpg,1,1
A\2778_a.jpg,2,1
A\2780_a.jpg,16,1
A\2781_a.jpg,2,1
A\2784_a.jpg,1,1
A\2786_a.jpg,14,1
A\2796_a.jpg,14,1
A\2797_a.jpg,10,1
A\2808_a.jpg,4,1
A\2810_a.jpg,6,1
A\2812_a.jpg,4,1
