name,x,y,obverse_group,reverse_group
A\2219,10.543698,2.9354918,18,3
A\2221,4.821815,5.0057836,2,6
A\2225,11.011507,6.044568,3,12
A\2231,11.360096,6.542234,15,14
A\2232,6.944027,2.8125494,5,15
A\2234,4.4145455,3.507586,16,4
A\2247,11.710045,4.333048,16,9
A\2262,9.43705,3.517032,13,3
A\2264,11.346176,5.349194,4,12
A\2266,8.785119,5.207245,6,4
A\2267,10.655361,5.137837,19,15
A\2268,9.18697,4.2961106,11,14
A\2269,11.096134,5.2765293,16,9
A\2273,7.4214587,6.879971,9,2
A\2277,3.250813,4.8666863,14,9
A\2279,3.2380605,4.7837014,14,16
A\2280,10.865189,3.716173,16,18
A\2281,5.0329447,4.8355055,2,11
A\2284,7.487913,5.0901656,12,16
A\2310,4.5418067,4.86923,0,6
A\2336,6.2449713,2.7753782,17,3
A\2357,5.4785075,3.2759287,17,6
A\2360,5.275261,2.593512,11,15
A\2366,5.5425916,2.4889457,11,15
A\2369,5.058276,3.1606536,17,6
A\2371,5.2189016,4.281808,17,6
A\2374,5.1708245,4.3568373,2,11
A\2378,4.74849,4.610089,7,6
A\2393,5.0434456,2.851019,17,15
A\2395,6.180688,2.9149206,17,15
A\2397,9.838236,6.9520082,1,12
A\2398,7.8736463,6.6816087,6,2
A\2400,9.758861,3.0372121,13,1
A\2401,11.12465,2.6173599,18,3
A\2402,11.222976,3.7624204,4,12
A\2404,9.917791,3.8584895,13,12
A\2406,9.5784,4.4823666,13,12
A\2407,8.248951,6.83719,9,2
A\2409,11.381697,4.53478,4,12
A\2410,8.490507,5.721593,6,14
A\2412,11.10441,3.0979438,4,11
A\2414,10.95871,3.9367807,4,3
A\2416,8.068174,5.9844756,6,4
A\2417,10.560278,7.102316,15,9
A\2420,11.271551,6.5414314,15,2
A\2421,10.756652,2.4081247,18,1
A\2422,11.084501,3.8260078,4,1
A\2423,11.117364,4.052345,4,1
A\2426,10.7086935,2.4145517,18,3
A\2432,12.156879,5.2494564,4,1
A\2433,9.652704,7.2735023,1,2
A\2435,7.9527035,6.636616,15,2
A\2436,11.951053,5.435662,15,9
A\2437,11.165823,2.919716,18,3
A\2439,11.434597,6.4278126,15,11
A\2440,11.033872,2.812136,18,3
A\2441,9.5062475,6.291722,15,4
A\2442,9.645851,6.4397316,19,12
A\2443,11.263539,6.5531344,15,2
A\2446,9.341298,5.935278,15,14
A\2451,11.97788,5.3273015,15,1
A\2454,10.906322,3.2449849,4,12
A\2457,10.051736,3.6284328,13,14
A\2458,8.641395,6.212587,19,3
A\2462,11.056067,3.1256378,4,1
A\2463,11.431724,5.9611397,15,9
A\2464,9.384214,2.3133671,11,1
A\2466,11.4092865,6.502519,15,2
A\2468,11.87898,6.1922426,15,14
A\2471,11.443244,4.6575937,4,2
A\2472,10.692608,5.688359,15,1
A\2473,11.343034,5.9977055,15,2
A\2490,10.495112,4.4842467,3,2
A\2491,12.09906,4.8035135,4,2
A\2492,10.862573,6.400493,15,12
A\2494,9.506869,2.7353525,4,14
A\2495,11.860826,5.1549664,16,14
A\2496,11.320423,4.311511,4,1
A\2507,12.002996,6.0534973,15,12
A\2508,11.573075,6.0009174,15,1
A\2521,11.062074,7.320792,10,7
A\260,4.3797064,10.338391,10,16
A\261,4.3624454,10.362203,8,16
A\2622,9.977734,2.3856003,18,3
A\267,4.3782125,10.366729,14,16
A\268,4.3737564,10.336748,14,16
A\269,4.535084,10.025753,10,16
A\2759,12.009923,6.465587,15,4
A\2761,10.63902,4.0934496,4,12
A\2763,7.755004,7.065887,9,2
A\2768,11.197464,6.557851,15,2
A\2769,7.5430975,6.711183,9,2
A\276,6.577002,10.408222,10,7
A\2772,10.227925,6.63225,19,9
A\2774,11.286713,5.3812666,15,9
A\2778,7.4112687,6.521341,6,4
A\2780,11.348635,5.397602,15,1
A\2781,7.6791043,6.5934854,6,9
A\2784,8.975911,7.9591885,1,2
A\2786,11.025877,3.5780842,13,3
A\2796,11.556637,4.147408,4,9
A\2797,10.618294,5.602476,16,8
A\2808,10.593404,2.5840697,18,11
A\2810,9.522867,3.6484954,13,14
A\2812,11.245831,3.2734518,4,11
A\2814,9.007004,8.121525,1,4
A\2815,10.774994,3.0754807,18,1
A\2816,11.780398,5.977176,15,9
A\2817,11.507753,4.192792,4,12
A\2818,8.98125,6.0678654,19,9
A\281,6.5662904,10.377055,10,7
A\2820,10.175334,6.563143,15,9
A\2823,10.411136,5.7264295,15,4
A\2829,9.751466,5.287395,19,14
A\2831,10.48204,3.8909955,4,14
A\2836,9.269217,6.9911523,15,9
A\2844,10.450621,7.190136,9,4
A\2849,9.479128,5.554204,15,4
A\2855,10.635965,6.5388246,19,9
A\2858,10.733561,5.0389986,4,1
A\2861,10.05396,5.0027885,19,14
A\2863,9.869198,4.2739687,19,9
A\2869,11.806601,3.706755,18,14
A\2870,10.475019,3.4273202,4,12
A\2876,9.0059185,4.57547,19,14
A\2879,7.909438,7.4721203,9,12
A\287,6.3555264,9.870962,2,16
A\2882,11.824123,5.297961,15,4
A\2883,10.015039,2.7205975,18,12
A\2884,9.550462,5.6445665,15,4
A\2885,11.564716,5.929885,15,2
A\2922,10.763425,6.906376,15,4
A\2926,8.7500725,4.752664,13,4
A\2928,11.399316,6.480044,15,4
A\2930,11.637884,5.918585,15,12
A\2933,11.200676,3.5986753,4,12
A\2934,9.459363,3.0187185,11,4
A\2935,10.774953,5.9833503,15,11
A\2939,10.65669,3.1339252,13,12
A\2941,12.068499,6.119528,15,4
A\2945,9.666346,5.8988986,3,4
A\2946,12.057911,4.7669234,4,14
A\2948,10.992273,3.8489158,4,1
A\2949,11.135419,6.628173,15,9
A\2950,10.898599,2.7670095,18,3
A\2953,9.015689,5.7122483,3,4
A\2955,9.806429,3.9944801,13,12
A\2966,10.734829,3.3826466,17,16
A\2967,8.308398,5.9748735,2,11
A\2968,12.3622465,3.808911,5,10
A\2973,10.22406,7.0457373,15,9
A\2975,10.449694,7.189854,15,9
A\2977,10.348641,7.2760706,15,12
A\2978,10.7445545,6.9750385,15,9
A\2979,10.592824,6.9424934,15,12
A\2980,10.478495,7.210905,15,9
A\2981,11.871489,6.167827,15,12
A\2982,9.613779,4.3187523,13,9
A\2983,8.956068,5.577181,6,9
A\2984,7.9286733,6.7472653,9,4
A\2985,10.879122,4.4930353,4,1
