name,cluster
3583,6
3585,-1
3586,-1
3589,-1
3590,-1
3595,-1
3603,3
3604,-1
3605,6
3609,-1
3612,6
3613,-1
3614,-1
3618,-1
3619,-1
3621,-1
3623,-1
3627,-1
3628,-1
3629,-1
3630,1
3631,5
3632,2
3633,-1
3634,0
3635,0
3636,0
3637,-1
3638,2
3639,-1
3640,-1
3641,5
3642,-1
3643,-1
3644,-1
3645,1
3646,1
3647,6
3648,-1
3649,-1
3650,-1
3651,-1
3654,6
3657,6
3658,6
3659,-1
3660,-1
3661,6
3662,-1
3663,6
3664,-1
3665,-1
3666,6
3667,-1
3668,-1
3669,-1
3670,-1
3672,6
3673,-1
3674,-1
3675,6
3676,6
3677,6
3678,6
3679,-1
3680,6
3681,-1
3682,-1
3683,6
3684,-1
3685,6
3686,-1
3687,6
3688,-1
3689,-1
3690,6
3691,6
3692,-1
3693,-1
3694,-1
3695,-1
3696,-1
3697,-1
3698,6
3699,-1
3708,6
3709,-1
3710,-1
3711,6
3712,-1
3713,-1
3714,-1
3715,-1
3716,-1
3717,-1
3718,1
3719,-1
3724,-1
3725,6
3726,-1
3727,6
3728,-1
3729,-1
3730,-1
3731,-1
3732,-1
3733,-1
3743,-1
3744,6
3745,6
3746,-1
3748,6
3749,-1
3750,-1
3755,-1
3756,6
3757,6
3758,-1
3759,-1
3760,6
3761,-1
3762,-1
3763,-1
3764,-1
3765,-1
3766,-1
3767,-1
3768,-1
3769,-1
3770,6
3771,6
3772,-1
3773,-1
3774,-1
3775,6
3776,6
3777,6
3778,6
3779,-1
3780,6
3784,6
3785,6
3786,6
3787,6
3788,6
3789,6
3790,-1
3791,6
3792,6
3793,-1
3794,-1
3795,6
3796,-1
3797,-1
3798,-1
3799,6
3800,-1
3801,-1
3802,-1
3803,-1
3804,-1
3805,6
3806,-1
3807,6
3808,-1
3809,-1
3810,-1
3811,-1
3812,-1
3813,6
3814,-1
3815,-1
3816,-1
3817,-1
3818,-1
3835,4
3836,4
3837,4
3838,4
3839,-1
3840,-1
3841,-1
3842,-1
3853,-1
3854,-1
3855,-1
3856,-1
3857,3
3858,-1
3859,4
3860,4
3861,-1
