base_name,x,y,obverse_group
258,6.7777,7.898742,9
259,7.202885,7.792385,9
260,6.256337,8.232911,15
261,8.889778,5.2750626,21
267,6.5069537,7.8920355,28
268,8.397289,5.6398005,21
269,11.873769,3.8292031,15
270,7.1026926,7.7673044,9
2810,5.9887524,5.8658967,2
2876,6.3248625,7.7052946,20
3010,7.1547346,4.7041297,0
303,6.512484,8.208393,13
309,6.4461327,8.063517,20
310,5.404459,7.787522,25
2221,8.241271,5.7641983,14
2225,5.537396,8.020121,28
2231,5.040671,8.404951,15
2234,5.0419064,8.563254,25
2243,7.4960513,6.0762496,16
2247,6.330634,7.6384597,20
2261,7.3005013,6.9718037,16
2264,4.4234004,3.9629893,17
2266,4.744048,4.344476,17
2267,4.4848595,3.7907887,17
2268,5.2418904,3.8389373,10
2269,4.357977,3.9397113,17
2273,5.412255,8.2169485,25
2275,11.985178,3.59553,15
2276,7.48009,7.0780244,16
2277,5.5193176,8.380939,15
2279,5.593574,8.306015,25
2280,7.7665358,6.700618,16
2282,7.1888814,7.8270984,9
2284,6.3570957,7.1906757,20
2285,6.66522,5.6237707,29
2288,7.3092294,7.400945,16
2310,6.738642,7.9051204,28
2338,11.937618,3.6620493,16
2354,6.9719877,6.543557,16
2357,7.0109005,3.790516,6
2369,6.128881,5.8783646,2
2370,5.921244,6.005862,2
2371,6.727337,5.997825,16
2374,6.330627,7.6805153,20
2378,4.982083,3.6303296,17
2393,6.2634425,5.9280086,2
2395,6.1288805,7.441154,20
2397,5.3659043,6.4641275,3
2398,4.9368887,8.089631,25
2400,6.4503946,5.1770444,29
2401,5.481097,6.3828106,3
2402,4.9455004,6.8965936,12
2404,4.982304,6.5942984,2
2406,9.004517,5.269462,27
2407,5.134158,6.718281,12
2409,4.8586416,7.4419956,12
2412,5.1994576,7.524372,3
2416,5.123028,8.091685,25
2417,5.533361,8.22128,25
2420,4.8267474,7.0991025,12
2422,5.116607,7.765112,25
2423,5.4732137,6.132705,3
2426,5.6812196,5.9246054,3
2432,5.922356,6.4444265,3
2433,6.391892,6.178078,3
2434,5.8594728,6.100057,3
2435,5.0692744,8.033116,25
2436,4.887828,7.340817,25
2437,5.1861496,7.779642,15
2439,4.640148,7.420629,13
2441,5.262377,6.184708,12
2442,5.9660482,5.945277,3
2443,4.7081995,7.4196644,13
2445,5.123665,6.998865,12
2451,5.211235,7.057067,3
2454,6.1701493,6.0742083,3
2457,6.2819014,6.1130958,3
2458,5.832505,6.0396805,3
2461,5.52101,6.977803,16
2462,5.572992,7.283636,3
2463,4.9604754,7.054954,12
2464,5.964854,5.8271456,2
2465,5.592981,6.7704597,2
2466,6.4335976,5.699713,3
2468,5.5732346,5.96224,3
2471,5.1212134,7.6164947,25
2472,5.0396204,8.057394,15
2473,5.01471,7.1207957,12
2477,6.934482,7.894987,9
2490,5.819428,6.225252,3
2491,4.605833,7.445541,13
2492,4.67961,7.3792524,13
2494,7.5569186,6.0227747,3
2495,4.981961,8.0465355,15
2496,6.2043304,7.9346104,28
2499,7.1709256,7.095688,16
2507,5.4201627,8.12756,25
2508,4.581987,7.4498954,25
2521,8.872422,5.367451,21
2637,5.3822055,6.845984,12
2732,7.331602,6.5356975,16
2759,5.093847,7.616825,12
2761,5.679861,7.5862365,3
2763,6.244036,7.517433,20
2765,7.9993486,6.17861,16
2766,6.9346976,6.6499014,16
2768,4.5314736,7.3529787,25
2769,5.215616,6.912449,12
2771,6.655815,5.302402,29
2772,6.0676613,7.8285484,28
2773,6.9623165,6.406144,16
2774,5.323395,7.4892526,12
2775,6.9438596,7.647142,9
2778,6.3012247,7.7807155,20
2780,5.024745,8.524973,25
2781,5.6307416,7.3303237,5
2784,5.062687,8.226742,25
2786,5.0203013,8.511161,25
2793,7.1155467,6.6017833,16
2796,6.3948646,7.1989565,11
2797,5.7454596,6.607324,16
2798,7.1759467,7.706321,9
2799,6.927052,7.0087676,9
2800,7.002644,7.613209,9
2806,7.1058083,7.690948,9
2808,6.7890553,4.9926906,29
2810,6.0272427,5.9626555,2
2814,5.102059,8.324772,25
2816,4.599647,7.369623,25
2817,6.2825456,8.245941,13
2818,7.646384,5.9305825,3
2819,7.464189,7.048845,16
2820,6.4830823,8.280694,13
2823,4.6106133,3.8188138,17
2825,4.4013367,3.7259614,8
2826,4.679428,4.210283,8
2829,4.681453,4.2188606,17
2831,4.680237,4.032669,17
2836,4.651939,3.7468712,17
2840,4.316289,3.7329247,8
2842,4.500803,3.5455053,8
2844,4.2063203,4.0520706,13
2847,4.2928987,3.8344026,8
2849,4.6370583,3.8557744,17
2854,4.451413,3.639537,8
2855,4.7723794,3.649214,17
2858,4.62515,3.5828612,8
2861,6.1667457,7.3373747,20
2863,6.1683755,7.825095,20
2864,7.6569304,6.929793,16
2869,4.703571,4.2997565,17
2876,4.896575,4.0584154,20
2879,4.5461993,3.732647,8
2882,4.3166265,3.969952,17
2883,5.0453606,3.8210723,17
2884,4.5471835,4.059466,17
2885,5.0421543,3.765436,17
2903,4.253113,3.7792866,8
2908,4.264608,3.8482552,8
2922,5.3969574,7.4727845,12
2926,6.501099,5.106715,29
2928,5.6798315,6.025555,2
2930,4.976935,7.8645415,25
2933,7.7722235,5.8537474,14
2934,8.432717,4.0534124,7
2935,5.2870965,7.1278334,12
2939,5.7167716,7.5692406,3
2941,5.376535,6.713176,25
2945,5.5193214,7.21617,25
2946,5.952857,7.9909124,28
2948,5.227443,6.6577816,12
2949,5.7490377,8.196248,13
2950,5.825674,5.763658,2
2953,5.634411,6.2105093,3
2959,6.253261,6.427129,2
2966,5.597669,7.3416233,5
2967,6.5179777,5.077864,29
2968,6.325098,5.306903,29
2973,4.6416388,5.9110055,5
2975,4.2933593,5.8345385,28
2977,4.291561,6.6499968,13
2978,11.216866,3.972556,1
2979,4.269798,6.8251824,25
2980,4.7046747,5.910444,5
2981,4.4090595,6.871719,13
2982,6.552965,4.728375,10
2983,6.594351,4.5951796,10
2984,4.3073564,5.8404584,13
2985,5.176541,5.4717503,5
2986,4.292796,6.7525644,13
2987,4.8755846,6.298331,2
2988,4.759389,5.7450733,5
2989,4.869684,5.740253,5
2990,6.5817394,4.5201206,0
2991,8.473979,5.307009,21
2992,10.073268,3.4192092,24
2993,8.963941,5.174746,21
2994,4.3306556,6.4817405,15
2995,5.4816465,5.2393775,10
2996,6.6818924,4.5872135,0
2997,4.7069044,5.9000974,5
2998,4.7664475,5.495307,5
2999,4.6874256,5.6317196,5
3000,4.271745,5.866962,5
3001,4.821533,5.600091,5
3003,4.345358,5.8015046,5
3004,6.5730696,4.645551,10
3006,6.503925,4.5791535,0
3007,4.3429933,5.8111634,5
3008,4.7805157,5.6821656,5
3009,4.269299,5.9283037,5
3010,7.1205797,4.588188,0
3011,5.0314426,5.4770427,5
3012,4.4332933,5.7074757,5
3013,6.8590674,4.682486,0
3014,5.144954,5.2866664,6
3015,4.2426796,6.696635,25
3016,4.604291,5.54609,5
3019,5.0302315,5.7582464,5
3134,6.505048,5.218456,29
3136,8.282528,5.9369135,16
3140,6.5478587,6.5953536,3
3143,7.2668996,6.873341,16
3156,5.879656,8.019331,28
3165,7.0011754,7.713521,9
3166,6.975715,6.4913106,16
