base_name,x,y,obverse_group
3583,1.3847283,4.0820627,21
3585,1.5567973,7.5209966,26
3586,0.71546125,7.3979278,18
3589,1.3092642,7.7643366,11
3590,-0.574181,3.4943264,10
3595,1.7199961,3.549884,9
3603,0.009428029,7.4831605,7
3604,1.3551265,5.253015,1
3605,3.646457,5.906277,12
3609,2.98922,5.3426294,20
3612,3.7974844,5.622346,6
3613,4.3262315,5.7485323,28
3614,0.5328535,6.7242937,5
3618,-0.4498716,3.5612273,10
3619,0.36621496,7.896701,16
3621,1.0368111,4.5800276,1
3623,0.46120444,6.2776985,3
3627,4.395295,5.126495,17
3628,-0.23673218,3.747766,10
3629,-0.223276,3.2582338,14
3630,-0.8642021,3.7541924,25
3631,0.36627868,7.003886,7
3632,-0.5373893,3.4255111,10
3633,4.6495876,4.3372965,29
3634,4.572094,4.5404806,14
3635,4.3476458,4.4494367,2
3636,4.8329105,4.9578743,14
3637,4.540548,4.7102323,14
3638,4.235446,5.7526712,28
3639,0.7900473,4.847385,3
3640,4.566511,4.924515,14
3641,-0.90506834,3.9397526,25
3642,-0.8141371,3.6443431,25
3643,0.9434995,7.074981,24
3644,0.467258,6.104977,3
3645,4.24557,5.839653,28
3646,-0.5369536,3.4497795,10
3647,-0.27609515,3.2520823,10
3648,-0.3494099,3.451258,10
3649,4.5207725,5.214575,14
3650,4.5929093,4.2462463,29
3651,0.718446,4.0250254,3
3654,3.7849898,5.2222767,6
3657,2.0978959,4.242629,21
3658,0.567395,4.926238,3
3659,2.4436765,4.8532066,6
3660,3.0160904,4.889266,6
3661,2.5639238,7.7422743,11
3662,3.2713997,6.110297,6
3663,2.613233,4.395997,21
3664,2.915658,4.96578,6
3665,0.99260634,7.0007033,24
3666,2.1508868,7.6022425,8
3667,2.8919065,7.544417,4
3668,2.2199345,7.589569,8
3669,4.8366323,4.847502,29
3670,-0.27338418,5.3426485,1
3672,3.1939824,5.9482427,15
3673,2.5823534,5.96578,20
3674,1.7702028,4.346773,22
3675,0.40356132,7.95134,7
3676,-0.074459985,6.6808968,19
3677,3.154199,5.4489617,6
3678,-0.00089552434,5.373899,1
3679,3.9751995,5.571519,17
3680,3.3096669,5.5402985,2
3681,1.7001451,8.049918,8
3682,2.0879836,7.0787725,24
3683,2.07087,7.447469,8
3684,3.0884187,5.8349075,6
3685,-0.14104658,5.5162115,3
3686,1.8277478,6.765574,0
3687,3.4805102,6.7373347,20
3688,2.1051733,6.563032,13
3689,-0.13619289,5.2203646,1
3690,-0.22372341,4.982913,1
3691,1.6962123,6.061322,11
3692,2.731238,6.1924157,23
3693,1.8797386,4.107347,22
3694,1.5742365,6.4863815,20
3695,1.2260836,6.468946,24
3696,0.46310994,6.371899,5
3697,2.8777628,6.0988183,23
3698,1.6118126,5.816369,11
3699,0.73355114,5.272576,1
3708,1.8803872,3.8243792,13
3709,1.342285,3.9879365,3
3710,2.5303187,4.7423267,21
3711,3.2368007,5.0105844,6
3712,0.26910186,7.9853845,19
3713,4.8439746,5.2398753,19
3714,0.9463994,3.5488837,10
3715,4.755735,4.4409595,29
3716,2.1151052,5.711921,21
3717,2.5062351,4.346878,21
3718,-0.10051865,3.2716432,10
3719,-0.40932503,3.3439045,10
3724,2.7520502,6.9039726,20
3725,2.798825,7.3011346,20
3726,2.3583472,7.807317,11
3727,2.587811,5.255213,19
3728,1.03797,5.7790923,5
3729,2.85091,4.5655127,13
3730,0.79409957,5.8692193,5
3731,0.38468084,8.035571,19
3732,2.4052572,4.4054904,21
3733,2.2123349,5.123696,1
3743,0.95110387,7.973981,7
3744,1.6038079,7.8492966,11
3745,3.0179546,7.750871,8
3746,0.36819622,7.250725,7
3748,0.9496507,7.6741724,24
3749,3.6761115,5.3558373,6
3750,4.404596,4.728126,2
3755,1.0899636,3.838528,3
3756,1.6879438,3.9309506,21
3757,2.0753906,7.870399,11
3758,1.3766714,7.247713,11
3759,0.58952385,5.3525777,1
3760,0.7988337,4.370973,1
3761,3.0064142,7.6256905,19
3762,3.5330105,5.503751,6
3763,-0.09823908,6.2774982,1
