base_name,x,y,obverse_group
258,4.696217,4.9233756,10
259,4.2826467,5.5578656,10
260,4.406669,1.6735828,22
261,8.182924,4.630124,6
267,4.6730404,1.9694434,22
268,8.024348,4.155175,6
269,10.328714,6.157208,22
270,4.2000847,5.7246943,12
2810,6.2325177,2.0883586,7
2876,4.8441706,1.8974549,21
3010,6.180437,4.3616786,20
303,4.3577538,1.949605,22
309,4.596058,1.8039232,22
310,4.2303324,0.9680577,3
2221,7.628613,4.5941625,6
2225,4.366863,1.2002405,22
2231,4.3739133,1.530798,22
2234,4.3265777,1.5522633,22
2243,4.008135,6.596317,4
2247,4.676606,1.7048452,22
2261,4.132994,6.0326095,27
2264,6.332134,3.2567341,13
2266,6.462848,2.5585191,7
2267,6.2455416,3.2050347,13
2268,7.4475665,1.7888932,0
2269,6.295597,3.197167,13
2273,4.0072055,2.045975,22
2275,6.035441,4.557474,20
2276,4.0670314,5.9208198,27
2277,4.3142867,1.54673,22
2279,4.2794013,1.5559025,22
2280,3.9192696,6.0625477,27
2282,4.3770256,5.409587,10
2284,6.474024,2.3760636,7
2285,4.0916476,6.6621194,4
2288,4.1349425,5.7766848,12
2310,3.9860702,2.3733003,21
2338,6.149541,4.4468913,20
2354,4.1169353,6.356545,4
2357,7.40048,1.483312,0
2369,6.424643,2.2714818,7
2370,6.271845,2.3535094,7
2371,6.085387,3.9990604,20
2374,5.0062366,1.8541957,17
2378,7.0728164,3.3315568,13
2393,6.3742046,2.375509,7
2395,6.010458,1.128169,17
2397,5.529684,3.2478619,16
2398,4.2860303,1.3516761,3
2400,7.4299445,2.0635104,0
2401,5.567176,3.6649616,16
2402,3.9621086,0.96210694,3
2404,5.3347197,2.9471009,16
2406,7.9420733,4.566476,6
2407,4.057746,0.88197225,3
2409,4.239838,0.94760513,3
2412,4.577538,1.0847255,3
2416,4.4916544,1.3836964,22
2417,4.152281,1.292755,22
2420,4.1431985,0.84131277,3
2422,4.4487934,1.0786237,22
2423,6.279284,2.2871215,7
2426,6.2766557,2.0333636,7
2432,6.156165,2.6988666,6
2433,6.382812,2.4198549,7
2434,6.380185,2.3360283,7
2435,4.123285,1.2333435,3
2436,4.201425,0.91396314,3
2437,4.3618307,1.0546986,22
2439,3.9933984,0.98163706,3
2441,5.434126,3.5583236,16
2442,5.7887034,3.3382816,7
2443,4.0867987,1.0816439,3
2445,4.458412,5.8641014,12
2451,4.3380966,0.82278115,3
2454,6.4976764,2.3155072,7
2457,6.5330105,2.4406693,7
2458,5.664464,3.5751157,16
2461,4.324038,5.755698,12
2462,5.347397,3.5679018,16
2463,4.0959063,0.8693296,3
2464,6.3360877,2.08704,7
2465,4.5333896,6.4345503,29
2466,5.7164483,3.9406266,4
2468,5.588863,3.765,16
2471,4.4030886,1.0420623,3
2472,4.529887,1.2965219,22
2473,4.267033,0.8563633,3
2477,4.1972623,5.2668962,10
2490,5.7102227,3.478793,7
2491,3.9100904,1.49372,3
2492,3.8826702,1.0879065,3
2494,6.7187753,2.643829,6
2495,4.570062,1.8414826,16
2496,4.0341697,2.3115313,21
2499,4.1690216,6.027247,12
2507,4.2572207,1.208916,22
2508,3.9764423,1.1470681,3
2521,7.967794,4.3529544,6
2637,4.6596327,6.275411,29
2732,4.258645,6.30447,12
2759,4.442048,2.9372041,21
2761,4.737016,3.2408035,21
2763,5.0001025,3.040645,21
2765,4.0422807,6.4984336,27
2766,4.1352963,6.5108986,4
2768,4.779116,2.6046383,16
2769,5.2128634,3.0425882,16
2771,4.249594,6.831575,4
2772,4.689086,3.4217725,21
2773,4.0489306,6.5672116,4
2774,5.111235,1.5497197,3
2775,4.1693525,6.03294,12
2778,4.6824713,3.1289082,21
2780,4.69338,2.5489824,16
2781,5.512093,1.3983519,17
2784,4.746714,2.6322613,16
2786,4.543873,2.7024798,21
2793,4.0081234,6.536538,4
2796,9.031545,4.129996,24
2797,5.6132503,2.0311873,14
2798,4.3388705,5.585449,12
2799,4.4507165,6.0988746,12
2800,4.184296,5.416643,10
2806,4.1426373,5.6902575,12
2808,7.8909497,2.6462722,0
2810,6.0616064,2.6174133,7
2814,4.88275,2.7751667,16
2816,4.829877,2.6968646,16
2817,4.330893,3.1249807,21
2818,7.331281,4.1543956,6
2819,4.0466013,6.0158734,27
2820,4.1848354,3.007625,21
2823,6.8444467,3.4209309,13
2825,4.838577,5.9072223,25
2826,4.840277,6.124756,25
2829,6.783072,3.525496,26
2831,6.534666,3.398642,13
2836,5.6931796,1.3735746,13
2840,4.6244555,5.6462946,25
2842,4.9432125,5.86137,25
2844,5.959923,3.298553,13
2847,4.9736433,5.8423038,25
2849,6.848796,3.3878675,13
2854,4.8604965,5.9136252,25
2855,7.1186795,3.443358,13
2858,7.1861258,3.5518613,13
2861,5.210244,3.0091178,21
2863,4.67526,3.2130773,21
2864,3.8946471,6.080845,27
2869,6.574813,3.2861383,13
2876,6.749335,3.4248002,13
2879,6.8617887,3.4834683,13
2882,6.3204246,3.275862,13
2883,7.137541,3.2249856,13
2884,6.4239154,3.3431404,13
2885,7.124724,3.2508965,13
2903,4.8722773,5.8792915,25
2908,5.183671,5.650002,13
2922,5.2919593,1.4552758,17
2926,7.480056,2.1586175,0
2928,6.320273,2.0183535,7
2930,4.6731544,2.8860884,21
2933,7.527934,4.3922844,6
2934,9.592917,2.5749342,2
2935,5.2765155,1.3887466,8
2939,4.908803,3.3637938,21
2941,5.29582,2.8460488,16
2945,5.162139,3.1630814,16
2946,4.766411,3.4955714,26
2948,5.3204026,3.006022,16
2949,4.5549483,3.2530723,21
2950,6.4072447,1.8437645,7
2953,5.486927,3.0510147,16
2959,4.156559,6.5639944,4
2966,5.2198253,3.2373674,14
2967,7.5037494,2.1196887,0
2968,7.537447,2.3426757,0
2973,5.413446,2.6548,14
2975,5.192433,0.9291038,8
2977,4.511667,2.9330366,14
2978,10.313398,5.4410853,1
2979,4.4312406,2.769817,14
2980,5.520645,2.5242145,14
2981,4.418849,2.9935668,14
2982,7.697922,2.482201,0
2983,7.8534737,2.597423,0
2984,5.230405,0.97129345,8
2985,5.908789,2.7561884,14
2986,4.3954906,3.0387807,21
2987,5.5212517,2.6155477,14
2988,4.472497,5.5900736,12
2989,5.569895,2.6960645,14
2990,7.49193,1.9594053,0
2991,7.5537844,4.2638483,26
2992,9.054887,4.6638355,26
2993,7.8436475,4.454128,26
2994,5.037792,1.3240732,8
2995,6.58556,2.7975984,7
2996,7.876742,2.4891982,0
2997,5.565046,2.4397888,14
2998,5.674311,2.5840478,14
2999,5.659648,1.1557878,8
3000,5.31002,1.0068787,8
3001,5.668624,2.4945676,14
3003,5.472874,1.1487392,8
3004,7.766645,2.532234,0
3006,7.7162695,2.419783,0
3007,5.3384614,0.9781435,8
3008,5.6304755,2.52624,14
3009,5.3867106,1.0141898,8
3010,8.206769,2.7415318,0
3011,5.724957,2.6285384,14
3012,5.562401,1.1939505,8
3013,8.006661,2.5143943,0
3014,6.931229,1.570833,7
3015,4.491451,2.6052375,14
3016,5.7357473,1.284742,8
3019,4.5536346,6.146556,12
3134,7.594605,2.3808744,0
3136,8.375027,4.8270884,24
3140,4.4401617,6.4921846,4
3143,4.0619345,6.1292872,12
3156,4.812996,3.6023097,26
3165,4.214083,5.3942456,10
3166,4.0154037,6.5459757,4
3191,4.222716,6.216913,12
3360,4.364459,6.089853,12
3420,4.8409014,2.9987051,16
3422,7.9524355,2.664764,0
3424,4.1966405,6.5689006,4
3428,4.1103845,2.9152434,21
3429,7.5800853,4.4113,26
3431,4.090882,6.6438656,4
3434,4.7348046,6.354902,29
3435,4.72413,6.2988043,29
3443,4.735325,3.4528282,21
3449,4.6064844,2.580453,28
3461,5.3795285,2.864664,16
3579,8.193819,-0.33168286,15
