base_name,x,y,obverse_group
3583,2.6416757,-0.60995346,29
3585,4.347482,-1.947503,13
3586,4.514077,2.443193,14
3589,4.316388,-1.2770897,4
3590,1.2869867,6.0641747,2
3595,2.6998107,1.1771646,16
3603,4.6991854,1.3408507,9
3604,2.6953657,0.1633178,10
3605,2.4110355,-2.3067029,18
3609,2.896444,-2.3228722,25
3612,2.7099683,-1.5301138,10
3613,1.382012,4.506336,5
3614,4.073881,2.2885146,14
3618,0.9754844,5.941859,2
3619,2.0299513,5.3428597,22
3621,2.610262,0.05258365,29
3623,3.8218057,2.120357,14
3627,1.3212968,4.5725217,5
3628,1.1614904,5.983239,2
3629,1.3452365,5.7490907,2
3630,1.555819,6.0160136,2
3631,2.129467,5.888504,9
3632,1.2761711,6.0128736,2
3633,0.4295268,4.371396,5
3634,0.9992336,4.5993567,5
3635,0.78138256,4.2927547,5
3636,0.8813872,4.8352065,5
3637,0.79262453,4.609453,5
3638,1.381683,4.1488996,12
3639,2.760474,0.102311045,10
3640,1.1187592,4.957449,5
3641,1.8270983,6.046551,2
3642,1.4938529,6.1613607,2
3643,2.1669152,5.8858504,23
3644,2.697983,-1.948812,20
3645,1.5541043,4.0297084,12
3646,1.0736637,5.899138,2
3647,1.0828457,5.8320613,2
3648,0.9196449,5.7922597,2
3649,1.134176,4.718909,5
3650,0.29989776,4.3160872,5
3651,3.3649855,-0.6062211,6
3654,2.9782302,-1.5741681,6
3657,2.4631624,-0.9472828,29
3658,3.1522696,-0.62050015,29
3659,2.882778,-0.9308304,10
3660,2.8478584,-1.2544676,10
3661,4.1800337,-1.630921,13
3662,2.4809258,-2.265375,25
3663,2.402406,-1.3548737,25
3664,3.065861,-1.2032704,6
3665,3.6328318,-2.0967226,14
3666,4.48267,-2.0996413,13
3667,4.2414627,-2.2428436,13
3668,4.2380133,-2.3454626,13
3669,0.64916444,4.6122255,5
3670,4.1639466,-0.84963757,4
3672,2.3886857,-2.4234052,17
3673,2.8181548,-2.7009482,25
3674,2.1158178,-0.7436096,8
3675,4.8477907,-1.5560242,21
3676,4.5112386,-1.4256574,21
3677,2.7728567,-2.4947772,25
3678,4.297492,-0.8367229,4
3679,1.7025293,4.360973,17
3680,1.9829925,-1.3587993,17
3681,4.3865685,-1.7719029,13
3682,3.4982896,-2.4636104,25
3683,4.1208005,-2.38852,13
3684,2.6373487,-2.6749845,25
3685,3.8473842,-0.85605544,4
3686,3.3327215,-2.4522977,0
3687,4.024961,-1.8736844,29
3688,3.0738897,-2.5410736,25
3689,4.0370173,-0.66046655,4
3690,4.1645126,-0.600232,4
3691,3.9191685,-1.3197241,6
3692,2.2891276,-2.5435238,26
3693,1.9771028,-0.8859101,8
3694,2.9603443,0.47467184,16
3695,3.4495947,-2.1306973,20
3696,3.6088223,-1.898361,20
3697,2.2362382,-2.5125792,26
3698,3.7859085,-1.1815342,6
3699,3.155074,-0.7192191,10
3708,3.0626364,-1.5207084,6
3709,2.6954107,-0.62751997,10
3710,2.746623,-1.1004645,10
3711,2.8619103,-1.8035692,25
3712,4.89323,-1.8168949,21
3713,0.9768415,4.94679,5
3714,1.4850829,5.319285,1
